cycle,device,event,details
10000,vi,vi_vblank,origin=0xf000;width=0x140
20000,vi,vi_vblank,origin=0xf000;width=0x140
20000,pi,pi_rd_len,cart=0x1000;dram=0x100000;len=0x2000;latency=0x10
20016,pi,pi_dma_complete,len=0x2000
30000,vi,vi_vblank,origin=0xf000;width=0x140
40000,vi,vi_vblank,origin=0xf000;width=0x140
50000,vi,vi_vblank,origin=0xf000;width=0x140
60000,vi,vi_vblank,origin=0xf000;width=0x140
70000,vi,vi_vblank,origin=0xf000;width=0x140
80000,vi,vi_vblank,origin=0xf000;width=0x140
90000,vi,vi_vblank,origin=0xf000;width=0x140
100000,vi,vi_vblank,origin=0xf000;width=0x140
110000,vi,vi_vblank,origin=0xf000;width=0x140
120000,vi,vi_vblank,origin=0xf000;width=0x140
130000,vi,vi_vblank,origin=0xf000;width=0x140
140000,vi,vi_vblank,origin=0xf000;width=0x140
150000,vi,vi_vblank,origin=0xf000;width=0x140
160000,vi,vi_vblank,origin=0xf000;width=0x140
170000,vi,vi_vblank,origin=0xf000;width=0x140
180000,vi,vi_vblank,origin=0xf000;width=0x140
190000,vi,vi_vblank,origin=0xf000;width=0x140
200000,vi,vi_vblank,origin=0xf000;width=0x140
210000,vi,vi_vblank,origin=0xf000;width=0x140
220000,vi,vi_vblank,origin=0xf000;width=0x140
230000,vi,vi_vblank,origin=0xf000;width=0x140
240000,vi,vi_vblank,origin=0xf000;width=0x140
250000,vi,vi_vblank,origin=0xf000;width=0x140
260000,vi,vi_vblank,origin=0xf000;width=0x140
270000,vi,vi_vblank,origin=0xf000;width=0x140
280000,vi,vi_vblank,origin=0xf000;width=0x140
290000,vi,vi_vblank,origin=0xf000;width=0x140
300000,vi,vi_vblank,origin=0xf000;width=0x140
310000,vi,vi_vblank,origin=0xf000;width=0x140
320000,vi,vi_vblank,origin=0xf000;width=0x140
330000,vi,vi_vblank,origin=0xf000;width=0x140
340000,vi,vi_vblank,origin=0xf000;width=0x140
350000,vi,vi_vblank,origin=0xf000;width=0x140
360000,vi,vi_vblank,origin=0xf000;width=0x140
370000,vi,vi_vblank,origin=0xf000;width=0x140
380000,vi,vi_vblank,origin=0xf000;width=0x140
390000,vi,vi_vblank,origin=0xf000;width=0x140
400000,vi,vi_vblank,origin=0xf000;width=0x140
410000,vi,vi_vblank,origin=0xf000;width=0x140
420000,vi,vi_vblank,origin=0xf000;width=0x140
430000,vi,vi_vblank,origin=0xf000;width=0x140
440000,vi,vi_vblank,origin=0xf000;width=0x140
450000,vi,vi_vblank,origin=0xf000;width=0x140
460000,vi,vi_vblank,origin=0xf000;width=0x140
470000,vi,vi_vblank,origin=0xf000;width=0x140
480000,vi,vi_vblank,origin=0xf000;width=0x140
490000,vi,vi_vblank,origin=0xf000;width=0x140
500000,vi,vi_vblank,origin=0xf000;width=0x140
